"id","role","forest_id","person_id","valid_from","valid_to","note","created_at","created_by","updated_at","updated_by"
111,1,57,50,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
112,2,57,50,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
113,1,58,50,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
114,2,58,50,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
115,1,59,83,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
116,2,59,27,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
117,1,60,56,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
118,2,60,56,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
119,1,61,50,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
120,2,61,50,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
121,1,62,50,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
122,2,62,50,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
123,1,63,56,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
124,2,63,56,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
125,1,64,56,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
126,2,64,56,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
127,1,65,50,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
128,2,65,50,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
129,1,66,47,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
130,2,66,47,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
131,1,67,82,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
132,2,67,8,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
133,1,68,85,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
134,2,68,23,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
135,1,69,83,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
